Museum,Catalog no.,Genus,Species,Sex,Country,State/Region,SKL,BCL,FL,PL,PW,GULW,ZW,POP,POC,MCW,I3-I3,C1-C1,MB,CB,OCB,I3AP,I3ML,C1AP,C1ML,P3H,P3L,P4BP,P4L,P4-C1,c1H lower,c1AP,c1ML,p3H,p3L,p3B,p4H,p4L,p4B,m1L,m1B,MAT,MAM,MFL,MM1,MC1,JDM1,JBM1,JDP4,JBP4,SYML
LACM,51595,Acinonyx,jubatus,male,,,147.7,76,62.2,44.8,65.7,56,108.4,67.7,53.6,65,21.6,42.4,47,34.7,63.5,5.4,4.9,11.3,8,10.1,13.9,9.3,23,51,17.8,9.6,7.2,9.5,12.3,5.5,10.8,15.3,6,16.7,7.7,34.6,22.7,46.1,59.9,100.8,22.2,9.3,22.5,9.7,27.2
LACM,51285,Acinonyx,jubatus,unknown,,,158.7,78.7,67.2,41.8,72.8,60,124.8,76.9,57.4,67.9,21.6,45.3,52.8,38.4,72.8,4.9,4.3,9.2,8.3,10.7,15.9,9.7,23.1,51.5,18.4,9,6.3,10,12.4,5.3,11.7,16.1,5.9,17.6,7,41.1,20.7,53.6,67.1,110.6,21.7,11.3,22.1,10.8,27.3
LACM,30788,Acinonyx,jubatus,unknown,,,165.8,,,44.6,68.2,57.7,132,75.9,52.8,67.7,21.1,45.5,51.4,38.1,73.7,5.4,4.7,11.1,8.5,9.8,14.1,8.8,24,54,19.2,9.6,7.4,9.7,12.5,5.7,11.4,16.2,6.5,19.1,7.6,38.8,22.9,54.1,67.5,114.3,21,11.2,21.6,10.7,28.8
MVZ,184065,Acinonyx,jubatus,unknown,unknown,,174.3,49.8,66.5,44.8,61.8,54.8,120.6,69.2,55.2,68.4,19.3,42.3,52.4,37.7,68.8,4.5,5.1,10.3,7.9,9.8,13.2,5.8,22.7,50.2,14.7,8.9,6.5,9.2,12.6,5.1,11.5,15.8,6.1,16.7,6.9,34.9,18.3,48.1,65.7,113.2,19.8,10.5,19.3,10.6,24.8
MVZ,184066,Acinonyx,jubatus,unknown,unknown,,178.2,49.4,63.5,43.5,61,53.9,119.1,72.5,55.8,67.2,19.5,43.9,50.6,37.8,70.1,4.9,4.2,10.4,9.2,9.9,12.8,8.7,21.4,51,16.2,9,7.4,8.3,11.1,4.9,10.5,14.6,5.7,17.5,7.6,36.4,19.9,47.3,67.2,114.7,23,6.9,23.1,5.9,27.1
FMNH,39475,Acinonyx,jubatus,unknown,Tanzania,Serengeti Plains,181.3,54.5,70.6,45.6,72.3,53,129.2,72.2,54.9,71.5,20.7,46,52.5,39.8,73.5,5.4,4.7,10.9,9,11.1,14.9,9.1,23.7,52.7,17.9,10.4,7.6,10.5,12.8,6.4,11.9,16.2,6.9,19.7,8,35.5,19.9,53.9,69.4,117.1,22.3,11.2,22.8,10.8,26.8
MVZ,117861,Acinonyx,jubatus,unknown,South Africa,,192.8,56.9,71.7,48.8,73.7,58.1,136.6,84,57.5,73.3,22.5,49.7,57,39.2,74,5.4,4.5,11.3,9.7,10,13.9,6.5,23.7,54.7,18.1,10,7.8,10.1,12.5,5.9,12,16.8,6.7,19.3,7.9,37.9,26.7,56,75.4,128.2,23.4,12.4,22.4,11.6,31.8
FMNH,34589,Acinonyx,jubatus,male,Botswana,,194.7,34,79.5,52.3,73.8,57.7,135.6,77.8,58.2,71.7,22.6,49.1,58.2,43.2,74.1,5.6,4.8,12.1,9.8,10.7,15.1,9.6,25.1,57,17.9,10.4,7.9,10.4,13.7,6.4,11.6,17.2,7.6,21.2,8.4,35.3,23.06,55.7,74.1,128.1,24.1,11.1,23.6,11.1,32.1
MVZ,117860,Acinonyx,jubatus,unknown,South Africa,,205.4,56.1,78.7,49.2,71,58,139.6,80.5,59.4,74.1,22.4,51.4,56,40.6,78.3,6.4,4.6,13.6,10.4,10.2,16,6.6,25.7,59.2,18.5,10.8,8,9.5,13.5,6.1,11.4,17.5,7.9,20,8.3,39.5,25.7,53.6,76.6,131.6,24.9,11.9,24.8,11.8,33.2
USNM,163098,Acinonyx,jubatus raineyi,female,Kenya,Guaso Nyiro,173.6,50.6,64.7,44.2,64.4,49.6,119.8,69.7,51.5,68.2,19.8,44.5,47.7,38.1,66.3,5.3,4.3,9.1,7.7,9.3,13.4,8.9,22.1,48.6,15.1,8.2,6.8,9.2,11.8,5.3,11.2,15,6.1,17.6,7.3,30.8,17.3,50.5,65.7,110.8,19.1,9.9,19.1,9.7,27.5
